# faithfulness table for CloseCircuit
# generated by `cargo test --release --lib -- --test-threads=1 faithfulness`; do not hand-edit
op	source	kind	verdict	detail
addFreezeU64OneFinalCarryZero	ethereum_types/u64.rs:182-197	range	ok	both output limbs of U64Target::add are 32-bit range-checked
addFreezeU64OneFinalCarryZero	ethereum_types/u64.rs:182-197	arith	not-static	the carry equations and the final-carry-zero connect are on internal wires
connectFreezeSuccessor	close_circuit.rs:610	connect	ok	the incremented nonce is connected to the close_freeze_nonce PI
connectCloseNonceToFreeze	close_circuit.rs:618-620	connect	ok	close_nonce.connect(close_freeze_nonce)
zeroSnapshot2	close_circuit.rs:621-623	constant	ok	every snapshot limb is connected to the constant 0
zeroBurnHash8	close_circuit.rs:624-626	constant	ok	every burn_tx_hash limb is connected to the constant 0
zeroUnallocated8	close_circuit.rs:627-629	constant	ok	every unallocated_confirmed_incoming limb is connected to the constant 0
recomputeH1AndConnect	close_circuit.rs:644-656	connect	ok	recomputed_h1.connect(final_balance_state_h1)
recomputeImchAndConnect	close_circuit.rs:665-687	connect	ok	state_digest.connect(final_channel_state_digest)
recomputeImclAndConnect	close_circuit.rs:689-701	connect	ok	close_withdrawal_digest.connect(close_withdrawal_digest PI)
recomputeImcsAndConnect	close_circuit.rs:712-721	connect	ok	close_state_id.connect(close_intent_digest)
recomputeTokenFundsAndConnect	close_circuit.rs:731-741	connect	ok	recomputed_token_funds_digest.connect(token_funds_digest)
recomputeH1AndConnect	h1_gadget.rs / plonky2_keccak	gadget	not-static	the hash relation itself is Environment.h1Hash / Environment.keccak, not a copy constraint
recomputeImchAndConnect	h1_gadget.rs / plonky2_keccak	gadget	not-static	the hash relation itself is Environment.h1Hash / Environment.keccak, not a copy constraint
recomputeImclAndConnect	h1_gadget.rs / plonky2_keccak	gadget	not-static	the hash relation itself is Environment.h1Hash / Environment.keccak, not a copy constraint
recomputeImcsAndConnect	h1_gadget.rs / plonky2_keccak	gadget	not-static	the hash relation itself is Environment.h1Hash / Environment.keccak, not a copy constraint
recomputeTokenFundsAndConnect	h1_gadget.rs / plonky2_keccak	gadget	not-static	the hash relation itself is Environment.h1Hash / Environment.keccak, not a copy constraint
allocateBalanceProofAndConstantKey	close_circuit.rs:744	gadget	not-static	add_proof_target_and_verify_cyclic bakes balance_vd in as constants
connectBalanceEmbeddedCyclicKey	close_circuit.rs:744	gadget	not-static	the cyclic self-reference connect lives inside the recursion helper
verifyBalanceAtConstantKey	close_circuit.rs:744	gadget	not-static	recursive verification is the pinned-circuit dependency, not a copy constraint
connectBalanceChannel	close_circuit.rs:750	connect	ok	balance_pis.channel_id is connected to the channel_id PI limb
connectBalanceSettledChain	close_circuit.rs:751-753	connect	ok	balance_pis.settled_tx_chain is connected to the final_settled_tx_chain PI
allocateAggregateProofAndConstantKey	close_circuit.rs:806	gadget	not-static	add_proof_target_and_verify bakes agg_vd in as constants
verifyAggregateAtConstantKey	close_circuit.rs:806	gadget	not-static	recursive verification is the pinned-circuit dependency, not a copy constraint
connectAggregateMessage	close_circuit.rs:809-812	connect	ok	agg_message.connect(state_digest), transitively the final_channel_state_digest PI
connectAggregateCount	close_circuit.rs:815-818	connect	ok	agg signer_count is connected to the member_count PI limb
sliceAggregateKey[0..8)	close_circuit.rs:821-826	aliasing	ok	member key slot i IS agg_proof.public_inputs[9 + 8i .. 17 + 8i] (same Targets)
selectImcmKeyWords[0..8)	close_circuit.rs:836-841	arith	not-static	select(is_active, limb, zero) outputs are arithmetic wires
selectImcmKeyWords[0..8)	close_circuit.rs:830-841	preimage	ok	IMCM preimage is [IMCM domain constant, member_count PI, 64 selected limbs]
allocateCheckedInsertionPath4[0..8)	close_circuit.rs:873-879	width	ok	one height-4 indexed insertion proof per cosigner slot; Lean holds = True
constantInsertionValueOne	close_circuit.rs:881	constant	ok	builder.one() is the inserted leaf value
constantEmptyDistinctRoot	close_circuit.rs:882-885	constant	ok	the chain starts at the canonical empty IndexedMerkleTree root, as 4 constants
conditionalIndexedInsert[0..8)	close_circuit.rs:886-895	gadget	not-static	conditional_get_new_root is the audited insertion gadget, not a copy constraint
computeMemberSetAndConnect	close_circuit.rs:897-899	connect	ok	member_set_commitment.connect(member_set_commitment PI)
computeMemberSetAndConnect	plonky2_keccak	gadget	not-static	the keccak relation itself is Environment.keccak
registerPublicInputs103	close_circuit.rs:901 / :174-199	public-inputs	ok	the 103 registered wires are exactly the 20 fields in `PublicInputs.words` order
build	close_circuit.rs:902	no-gate	trivial	builder.build emits no constraint; Lean holds = True
