# faithfulness table for PostCloseClaimCircuit
# generated by `cargo test --release --lib -- --test-threads=1 faithfulness`; do not hand-edit
op	source	kind	verdict	detail
range settledChain	post_close_claim_circuit.rs:398	range	ok	Bytes32Target::new(_, true)
range stateVersion	post_close_claim_circuit.rs:399	range	ok	U64Target::new(_, true)
virtual receiverMemberIndex	post_close_claim_circuit.rs:403	range	ok	bare add_virtual_target; bounded only by the slot inclusion verify's split_le
range slot ciphertext digests + pending adds	post_close_claim_circuit.rs:404-408	range	ok	80 enc-digest limbs + 10 counters, all 32-bit range-checked
connect finalH1	post_close_claim_circuit.rs:426	connect	ok	recomputed_h1.connect(final_balance_state_h1)
range active sum	post_close_claim_circuit.rs:439	range	ok	range_check(active, 11)
connect active<1025	post_close_claim_circuit.rs:440	constant	ok	assert_one(less_than_u32(active, MAX_CHANNEL_MEMBERS + 1))
connect receiverMemberIndex<active	post_close_claim_circuit.rs:442-443	constant	ok	connect(less_than_u32(receiver_member_index, active), one)
virtual a,b,c1,c2	post_close_claim_circuit.rs:446-449	width	ok	4 * REGEV_N bare virtual targets
merkle slot	post_close_claim_circuit.rs:468-477	width	ok	IncrementalMerkleProofTarget::new(builder, BALANCE_SLOT_TREE_HEIGHT)
connect receiverDeltaDigest	post_close_claim_circuit.rs:483	connect	ok	ct_digest.connect(receiver_delta_digest) — the SAME wire the tx_leaf wing hashes
decryption true	post_close_claim_circuit.rs:486-494	gadget	not-static	decryption_core pins the polynomial lengths, canonicity and non-degeneracy internally
connect amount.hi,lo	post_close_claim_circuit.rs:496-497	connect	ok	amount PI to_vec is [hi, lo], each connected to the matching core output
connect sharedNativeNullifier	post_close_claim_circuit.rs:510	connect	ok	shared_native_nullifier.connect(shared_native_nullifier PI)
register 57	post_close_claim_circuit.rs:512 / :137-153	public-inputs	ok	the 57 registered wires are exactly the ten groups, in to_vec order
build standard_recursion_zk_config	post_close_claim_circuit.rs:513	no-gate	trivial	builder.build emits no constraint; Lean holds = True
tx recompute chain wiring	post_close_claim_circuit.rs:330-401	aliasing	ok	sender/receiver wing -> tx_leaf -> push(tx_tree_root, ·) -> push(ids, ·)
accumulator root is the PI root	post_close_claim_circuit.rs:414-418	aliasing	ok	the inclusion root is `final_settled_tx_accumulator_root.to_hash_out`, the SAME PI that rides in the recomputed H1
