# faithfulness table for WithdrawalClaimCircuit
# generated by `cargo test --release --lib -- --test-threads=1 faithfulness`; do not hand-edit
op	source	kind	verdict	detail
tenEqualityFlagsAndSumOne	withdrawal_claim_circuit.rs:396-404	arith	not-static	flag[t] = is_equal(token_slot, constant t) is arithmetic
compareTokenCount	withdrawal_claim_circuit.rs:410-411	constant	ok	connect(less_than_u32(token_slot, token_count), one)
selectEightCiphertextLimbs	withdrawal_claim_circuit.rs:417-425	connect	ok	each of the 8 one-hot select outputs is connected to the matching user_amount_digest limb
selectBaseToken	withdrawal_claim_circuit.rs:430-435	connect	ok	connect(selected registry limb, token_index PI)
allocateFourPolynomials	withdrawal_claim_circuit.rs:451-454	width	ok	the four Regev polynomials are allocated at exactly REGEV_N wires each
hashPkAndCiphertext	withdrawal_claim_circuit.rs:457/460	gadget	not-static	the Poseidon pk digest and the IMRC keccak are Environment callbacks
connectCiphertext	withdrawal_claim_circuit.rs:461	connect	ok	ct_digest.connect(user_amount_digest)
hashFullSlotLeaf	withdrawal_claim_circuit.rs:482-488	gadget	not-static	the IMS2 Poseidon leaf relation is Environment.poseidonRoot
verifyInclusion	withdrawal_claim_circuit.rs:489-493	width	ok	IncrementalMerkleProofTarget::new(builder, BALANCE_SLOT_TREE_HEIGHT)
verifyInclusion	merkle_tree.rs:228-248	gadget	not-static	the fold and the root equality live inside the audited inclusion gadget
decryptExposeAmount	withdrawal_claim_circuit.rs:503-505	gadget	not-static	decryption_core is the named Environment.decryption dependency
connectAmountHighThenLow	withdrawal_claim_circuit.rs:507-509	connect	ok	amount PI to_vec is [hi, lo] and each limb is connected to the matching core output
deriveIMW2	withdrawal_claim_circuit.rs:528-537	gadget	not-static	the IMW2 keccak relation is Environment.keccak
connectNullifier	withdrawal_claim_circuit.rs:538	connect	ok	withdrawal_nullifier.connect(withdrawal_nullifier PI)
registerPublic	withdrawal_claim_circuit.rs:547 / :134-151	public-inputs	ok	the registered wires are exactly the ten range-checked groups, in to_vec order
buildCircuit	withdrawal_claim_circuit.rs:557	no-gate	trivial	builder.build emits no constraint; Lean holds = True
memberPkGIsInformational	withdrawal_claim_circuit.rs:123/140	aliasing	ok	member_pk_g is NOT connected to the leaf-bound Regev pk digest (informational PI)
